workclass,education,marital_status,occupation,relationship,race,sex,native_country,income
State-gov,Assoc-acdm,Married-AF-spouse,Other-service,Husband,Amer-Indian-Eskimo,Female,Portugal,<=50K
Local-gov,Assoc-acdm,Married-AF-spouse,Other-service,Husband,Asian-Pac-Islander,Female,China,>50K
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-inc,Assoc-voc,Married-AF-spouse,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,Portugal,>50K
Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,Germany,>50K
Without-pay,5th-6th,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Female,Guatemala,>50K
State-gov,1st-4th,Divorced,Armed-Forces,Unmarried,Black,Female,Haiti,<=50K
Local-gov,12th,Separated,Tech-support,Own-child,Amer-Indian-Eskimo,Male,Scotland,<=50K
Local-gov,10th,Divorced,Tech-support,Other-relative,Other,Female,Honduras,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Federal-gov,5th-6th,Separated,Priv-house-serv,Wife,Amer-Indian-Eskimo,Female,Scotland,<=50K
State-gov,Assoc-voc,Married-spouse-absent,Adm-clerical,Wife,Other,Female,Iran,<=50K
Federal-gov,Some-college,Divorced,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,>50K
Private,HS-grad,Widowed,Transport-moving,Wife,Amer-Indian-Eskimo,Female,Cuba,>50K
Self-emp-not-inc,9th,Widowed,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Female,Cambodia,<=50K
Private,1st-4th,Married-civ-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Male,Poland,<=50K
State-gov,HS-grad,Never-married,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Female,France,>50K
State-gov,5th-6th,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,Japan,>50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
State-gov,Prof-school,Separated,Protective-serv,Not-in-family,White,Male,Hong,<=50K
Private,11th,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,Vietnam,<=50K
Local-gov,5th-6th,Married-civ-spouse,Tech-support,Wife,Black,Female,Peru,<=50K
Self-emp-not-inc,1st-4th,Married-civ-spouse,Priv-house-serv,Wife,White,Female,Dominican-Republic,>50K
Without-pay,7th-8th,Married-civ-spouse,Protective-serv,Wife,Amer-Indian-Eskimo,Female,Portugal,<=50K
Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
State-gov,5th-6th,Never-married,Exec-managerial,Own-child,Black,Male,Canada,>50K
Self-emp-inc,Preschool,Divorced,Protective-serv,Unmarried,Other,Female,Thailand,<=50K
Self-emp-inc,Doctorate,Divorced,Farming-fishing,Other-relative,Black,Male,Columbia,>50K
Without-pay,7th-8th,Divorced,Other-service,Other-relative,Black,Male,Mexico,>50K
Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,Asian-Pac-Islander,Male,Taiwan,<=50K
Without-pay,9th,Never-married,Transport-moving,Not-in-family,Other,Female,Philippines,<=50K
Local-gov,1st-4th,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,Mexico,<=50K
Private,Some-college,Separated,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,Masters,Never-married,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,Iran,<=50K
Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Wife,White,Female,United-States,>50K
Self-emp-inc,Assoc-acdm,Married-AF-spouse,Protective-serv,Husband,White,Female,Jamaica,>50K
Federal-gov,Masters,Separated,Protective-serv,Wife,Black,Male,Outlying-US(Guam-USVI-etc),>50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Without-pay,Some-college,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Male,Yugoslavia,>50K
Self-emp-inc,Masters,Widowed,Other-service,Own-child,Amer-Indian-Eskimo,Male,Taiwan,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Assoc-voc,Married-spouse-absent,Adm-clerical,Own-child,Asian-Pac-Islander,Male,Cuba,>50K
Local-gov,1st-4th,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,Haiti,<=50K
Local-gov,Bachelors,Widowed,Craft-repair,Own-child,Other,Female,Portugal,>50K
Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,>50K
State-gov,11th,Married-spouse-absent,Farming-fishing,Other-relative,White,Female,Canada,>50K
Local-gov,1st-4th,Married-civ-spouse,Handlers-cleaners,Wife,Black,Female,Haiti,>50K
State-gov,Prof-school,Widowed,Sales,Not-in-family,Asian-Pac-Islander,Male,Jamaica,<=50K
Local-gov,7th-8th,Married-AF-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,South,<=50K
Private,Masters,Never-married,Craft-repair,Wife,Amer-Indian-Eskimo,Male,Cambodia,<=50K
State-gov,Assoc-voc,Married-civ-spouse,Priv-house-serv,Husband,Other,Female,Nicaragua,<=50K
State-gov,5th-6th,Never-married,Craft-repair,Unmarried,Asian-Pac-Islander,Male,Dominican-Republic,<=50K
Federal-gov,12th,Married-civ-spouse,Prof-specialty,Other-relative,Other,Male,Greece,<=50K
Federal-gov,Masters,Separated,Priv-house-serv,Other-relative,White,Female,England,>50K
Self-emp-inc,5th-6th,Married-AF-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,Germany,>50K
State-gov,7th-8th,Widowed,Tech-support,Own-child,Black,Female,Germany,>50K
Federal-gov,Preschool,Divorced,Handlers-cleaners,Own-child,Black,Female,Cambodia,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Cuba,>50K
Self-emp-inc,10th,Divorced,Exec-managerial,Husband,White,Female,Holland-Netherlands,>50K
Local-gov,1st-4th,Widowed,Protective-serv,Husband,Asian-Pac-Islander,Male,Germany,<=50K
Private,Masters,Married-civ-spouse,Farming-fishing,Wife,Asian-Pac-Islander,Female,China,<=50K
Local-gov,11th,Never-married,Prof-specialty,Own-child,White,Female,Puerto-Rico,<=50K
Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,Female,United-States,<=50K
State-gov,12th,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,Nicaragua,<=50K
Without-pay,9th,Married-AF-spouse,Tech-support,Own-child,Other,Male,Columbia,<=50K
Local-gov,5th-6th,Married-spouse-absent,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,Italy,>50K
Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Own-child,Other,Male,Italy,>50K
Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
State-gov,Doctorate,Married-spouse-absent,Sales,Own-child,White,Male,Nicaragua,<=50K
Private,12th,Married-spouse-absent,Handlers-cleaners,Own-child,White,Female,Ireland,<=50K
Without-pay,7th-8th,Married-spouse-absent,Prof-specialty,Own-child,Black,Female,Vietnam,<=50K
Self-emp-not-inc,Bachelors,Separated,Farming-fishing,Other-relative,Amer-Indian-Eskimo,Male,Jamaica,<=50K
Federal-gov,9th,Married-AF-spouse,Machine-op-inspct,Other-relative,Other,Male,Honduras,>50K
Self-emp-inc,Assoc-voc,Widowed,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,Hungary,>50K
Private,9th,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,Haiti,>50K
Federal-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,Mexico,>50K
Private,5th-6th,Married-civ-spouse,Tech-support,Own-child,Other,Female,Scotland,>50K
Local-gov,7th-8th,Married-civ-spouse,Priv-house-serv,Wife,White,Female,Scotland,>50K
Federal-gov,1st-4th,Married-spouse-absent,Handlers-cleaners,Other-relative,White,Male,Italy,<=50K
Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,5th-6th,Married-civ-spouse,Transport-moving,Unmarried,Asian-Pac-Islander,Female,France,>50K
Local-gov,Some-college,Married-civ-spouse,Sales,Not-in-family,White,Male,Yugoslavia,>50K
Self-emp-not-inc,12th,Married-AF-spouse,Prof-specialty,Not-in-family,Black,Male,Cambodia,<=50K
Local-gov,Prof-school,Never-married,Protective-serv,Wife,Amer-Indian-Eskimo,Female,India,<=50K
Without-pay,Assoc-voc,Married-AF-spouse,Exec-managerial,Husband,Other,Male,Italy,>50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Some-college,Married-AF-spouse,Handlers-cleaners,Husband,Other,Male,India,<=50K
Self-emp-inc,Some-college,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Male,Yugoslavia,<=50K
Federal-gov,7th-8th,Married-civ-spouse,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,Canada,>50K
Self-emp-not-inc,Preschool,Separated,Tech-support,Own-child,Black,Male,Yugoslavia,>50K
Self-emp-inc,7th-8th,Married-spouse-absent,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,Trinadad&Tobago,>50K
Without-pay,Prof-school,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,France,<=50K
Private,Assoc-acdm,Divorced,Sales,Husband,Asian-Pac-Islander,Female,Thailand,<=50K
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
State-gov,Doctorate,Divorced,Other-service,Husband,Other,Male,Jamaica,<=50K
Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,England,>50K
Self-emp-inc,Assoc-acdm,Never-married,Machine-op-inspct,Unmarried,Black,Male,Haiti,>50K
State-gov,5th-6th,Widowed,Armed-Forces,Unmarried,Black,Male,Columbia,>50K
Private,11th,Divorced,Transport-moving,Own-child,Asian-Pac-Islander,Male,Guatemala,>50K
Self-emp-inc,9th,Never-married,Adm-clerical,Not-in-family,Black,Female,Iran,<=50K
Private,11th,Divorced,Tech-support,Not-in-family,Black,Male,Jamaica,>50K
Private,7th-8th,Married-spouse-absent,Tech-support,Husband,Amer-Indian-Eskimo,Female,Nicaragua,>50K
State-gov,7th-8th,Divorced,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Male,Haiti,>50K
Private,1st-4th,Married-AF-spouse,Tech-support,Husband,White,Male,Japan,<=50K
Federal-gov,12th,Widowed,Sales,Wife,Asian-Pac-Islander,Male,Hungary,<=50K
Self-emp-not-inc,HS-grad,Married-AF-spouse,Machine-op-inspct,Other-relative,White,Male,Philippines,<=50K
Self-emp-inc,10th,Married-AF-spouse,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Male,France,<=50K
Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
Private,7th-8th,Married-spouse-absent,Tech-support,Not-in-family,White,Female,Greece,>50K
State-gov,Assoc-voc,Divorced,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,Laos,>50K
Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,9th,Married-AF-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Male,Poland,<=50K
Private,Masters,Widowed,Adm-clerical,Own-child,Other,Female,Yugoslavia,<=50K
Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,United-States,>50K
Without-pay,1st-4th,Married-civ-spouse,Other-service,Other-relative,Black,Male,Puerto-Rico,>50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Preschool,Married-spouse-absent,Handlers-cleaners,Unmarried,Black,Female,England,>50K
Local-gov,5th-6th,Married-spouse-absent,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,Trinadad&Tobago,<=50K
Private,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Federal-gov,11th,Divorced,Adm-clerical,Wife,Other,Male,Laos,>50K
Private,Some-college,Never-married,Sales,Own-child,Black,Female,United-States,<=50K
Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Female,United-States,<=50K
Without-pay,Some-college,Married-AF-spouse,Tech-support,Husband,Asian-Pac-Islander,Female,Iran,>50K
Self-emp-not-inc,Assoc-voc,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,Poland,<=50K
State-gov,11th,Married-spouse-absent,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,China,>50K
Without-pay,Masters,Widowed,Exec-managerial,Husband,Asian-Pac-Islander,Male,Yugoslavia,<=50K
Self-emp-not-inc,5th-6th,Married-spouse-absent,Other-service,Other-relative,White,Male,Vietnam,>50K
Self-emp-inc,12th,Married-spouse-absent,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,Philippines,<=50K
Self-emp-not-inc,12th,Divorced,Tech-support,Other-relative,White,Male,Guatemala,>50K
Self-emp-not-inc,7th-8th,Divorced,Priv-house-serv,Own-child,Asian-Pac-Islander,Male,France,>50K
Without-pay,Prof-school,Never-married,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,Guatemala,<=50K
Self-emp-not-inc,Bachelors,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
Federal-gov,Bachelors,Widowed,Protective-serv,Own-child,Other,Female,Ireland,<=50K
State-gov,1st-4th,Married-spouse-absent,Other-service,Husband,Amer-Indian-Eskimo,Female,Nicaragua,>50K
State-gov,Prof-school,Married-AF-spouse,Other-service,Own-child,White,Female,Nicaragua,>50K
Private,Bachelors,Married-spouse-absent,Transport-moving,Other-relative,Black,Male,Jamaica,>50K
Federal-gov,Preschool,Widowed,Armed-Forces,Husband,Other,Male,Scotland,>50K
Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Self-emp-inc,5th-6th,Separated,Sales,Own-child,Other,Female,India,<=50K
State-gov,Masters,Never-married,Adm-clerical,Wife,Black,Female,Ireland,<=50K
Private,Assoc-voc,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Without-pay,7th-8th,Married-AF-spouse,Farming-fishing,Own-child,White,Male,Honduras,>50K
Self-emp-inc,HS-grad,Never-married,Craft-repair,Husband,Black,Male,Taiwan,>50K
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
Private,Doctorate,Divorced,Craft-repair,Wife,Other,Female,Portugal,<=50K
Without-pay,Masters,Married-spouse-absent,Craft-repair,Unmarried,White,Male,Ecuador,>50K
Local-gov,Prof-school,Widowed,Tech-support,Other-relative,Amer-Indian-Eskimo,Female,Peru,<=50K
State-gov,Some-college,Widowed,Craft-repair,Other-relative,Asian-Pac-Islander,Male,Taiwan,>50K
Private,Assoc-voc,Widowed,Prof-specialty,Unmarried,Other,Male,Jamaica,<=50K
Private,10th,Separated,Machine-op-inspct,Other-relative,Black,Female,England,<=50K
Self-emp-inc,HS-grad,Separated,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,Thailand,>50K
Self-emp-not-inc,HS-grad,Widowed,Protective-serv,Own-child,Other,Female,Jamaica,<=50K
Self-emp-not-inc,Prof-school,Married-civ-spouse,Sales,Unmarried,Black,Male,China,>50K
Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,Doctorate,Never-married,Exec-managerial,Own-child,Other,Female,Philippines,>50K
Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,10th,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Federal-gov,HS-grad,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,Puerto-Rico,>50K
Without-pay,Prof-school,Divorced,Exec-managerial,Own-child,Black,Female,Laos,>50K
Local-gov,Some-college,Separated,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,Ireland,>50K
Self-emp-inc,Bachelors,Widowed,Exec-managerial,Other-relative,White,Female,Taiwan,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Without-pay,7th-8th,Never-married,Protective-serv,Other-relative,Amer-Indian-Eskimo,Male,Nicaragua,>50K
Private,Doctorate,Never-married,Other-service,Unmarried,Other,Female,Vietnam,>50K
Self-emp-not-inc,7th-8th,Divorced,Transport-moving,Own-child,Other,Male,Poland,>50K
Private,Preschool,Divorced,Protective-serv,Wife,Other,Male,South,<=50K
State-gov,Bachelors,Separated,Farming-fishing,Other-relative,White,Female,India,<=50K
Private,Masters,Married-AF-spouse,Tech-support,Own-child,Black,Male,Hungary,<=50K
Self-emp-inc,Assoc-voc,Married-AF-spouse,Craft-repair,Own-child,White,Male,Greece,>50K
Local-gov,1st-4th,Married-spouse-absent,Handlers-cleaners,Unmarried,Black,Female,Columbia,<=50K
Without-pay,Bachelors,Divorced,Handlers-cleaners,Wife,Other,Female,Outlying-US(Guam-USVI-etc),<=50K
Self-emp-not-inc,Assoc-voc,Married-AF-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,Outlying-US(Guam-USVI-etc),>50K
Federal-gov,1st-4th,Separated,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,Taiwan,>50K
State-gov,Preschool,Married-spouse-absent,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,Columbia,<=50K
Private,7th-8th,Widowed,Other-service,Not-in-family,White,Female,United-States,<=50K
Federal-gov,9th,Married-civ-spouse,Armed-Forces,Husband,Asian-Pac-Islander,Male,France,>50K
Self-emp-inc,9th,Married-spouse-absent,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,Yugoslavia,>50K
Self-emp-not-inc,12th,Never-married,Machine-op-inspct,Unmarried,White,Male,Columbia,<=50K
Self-emp-inc,1st-4th,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,Italy,>50K
Self-emp-not-inc,1st-4th,Married-AF-spouse,Transport-moving,Wife,Other,Male,Germany,>50K
Private,HS-grad,Divorced,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Federal-gov,Prof-school,Married-AF-spouse,Priv-house-serv,Own-child,Black,Male,United-States,>50K
Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Self-emp-inc,HS-grad,Separated,Tech-support,Own-child,White,Female,Columbia,>50K
Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K
Private,9th,Widowed,Other-service,Husband,Asian-Pac-Islander,Female,Hong,>50K
Self-emp-inc,Masters,Never-married,Protective-serv,Own-child,Black,Male,Vietnam,>50K
Self-emp-inc,1st-4th,Widowed,Transport-moving,Not-in-family,Black,Female,Columbia,<=50K
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,12th,Widowed,Transport-moving,Unmarried,Other,Female,Vietnam,>50K
Federal-gov,Prof-school,Married-AF-spouse,Tech-support,Other-relative,White,Male,Scotland,>50K
Private,HS-grad,Divorced,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
Local-gov,Masters,Married-civ-spouse,Exec-managerial,Unmarried,Black,Male,Ireland,<=50K
Self-emp-inc,Masters,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,Greece,>50K
Without-pay,Some-college,Married-civ-spouse,Other-service,Other-relative,White,Female,Yugoslavia,>50K
State-gov,HS-grad,Widowed,Farming-fishing,Wife,Asian-Pac-Islander,Male,Nicaragua,>50K
Private,Doctorate,Divorced,Craft-repair,Other-relative,Black,Male,Cambodia,>50K
Without-pay,1st-4th,Separated,Transport-moving,Unmarried,Amer-Indian-Eskimo,Female,Jamaica,>50K
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,1st-4th,Married-civ-spouse,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,Greece,<=50K
Self-emp-inc,1st-4th,Divorced,Exec-managerial,Own-child,White,Male,Haiti,<=50K
Self-emp-not-inc,12th,Divorced,Priv-house-serv,Wife,Black,Male,Vietnam,<=50K
Federal-gov,Doctorate,Widowed,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,Italy,>50K
Local-gov,Bachelors,Separated,Prof-specialty,Unmarried,Black,Female,United-States,<=50K
Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,United-States,<=50K
Private,Some-college,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,Hong,>50K
Self-emp-not-inc,10th,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,Ireland,>50K
Private,HS-grad,Widowed,Craft-repair,Wife,White,Male,Laos,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,Married-spouse-absent,Exec-managerial,Own-child,Black,Female,Philippines,>50K
Self-emp-not-inc,11th,Separated,Machine-op-inspct,Wife,Black,Male,Columbia,<=50K
Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Unmarried,White,Male,United-States,<=50K
Self-emp-not-inc,11th,Divorced,Protective-serv,Not-in-family,Other,Female,Portugal,>50K
Private,9th,Married-spouse-absent,Protective-serv,Unmarried,Other,Female,England,<=50K
Private,11th,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,United-States,<=50K
Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
Private,10th,Married-spouse-absent,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,France,<=50K
Local-gov,11th,Divorced,Armed-Forces,Husband,Black,Male,Taiwan,>50K
Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Male,Hungary,<=50K
Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Federal-gov,Prof-school,Widowed,Transport-moving,Other-relative,Asian-Pac-Islander,Female,Hong,<=50K
Local-gov,9th,Married-AF-spouse,Craft-repair,Other-relative,Amer-Indian-Eskimo,Female,Columbia,>50K
State-gov,Doctorate,Married-spouse-absent,Transport-moving,Unmarried,Black,Male,Laos,>50K
Without-pay,Assoc-acdm,Married-spouse-absent,Craft-repair,Wife,White,Female,Nicaragua,<=50K
State-gov,5th-6th,Separated,Prof-specialty,Unmarried,Black,Male,Ireland,<=50K
Federal-gov,Masters,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Female,Cuba,>50K
State-gov,Some-college,Married-spouse-absent,Adm-clerical,Own-child,Black,Male,Poland,>50K
Private,10th,Separated,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,China,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
State-gov,Preschool,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,Hong,<=50K
Local-gov,11th,Never-married,Craft-repair,Wife,Asian-Pac-Islander,Male,Thailand,>50K
Local-gov,Doctorate,Separated,Armed-Forces,Not-in-family,Black,Male,Taiwan,>50K
Federal-gov,HS-grad,Married-AF-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,Thailand,<=50K
Self-emp-inc,10th,Married-spouse-absent,Craft-repair,Own-child,Black,Female,Holland-Netherlands,>50K
Private,HS-grad,Never-married,Tech-support,Not-in-family,White,Female,United-States,<=50K
Without-pay,12th,Married-spouse-absent,Exec-managerial,Husband,Other,Female,Canada,<=50K
Self-emp-inc,10th,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Female,Hong,>50K
Without-pay,HS-grad,Never-married,Adm-clerical,Other-relative,White,Male,Puerto-Rico,>50K
Federal-gov,10th,Married-spouse-absent,Transport-moving,Husband,Other,Female,Poland,>50K
State-gov,10th,Married-civ-spouse,Sales,Not-in-family,Black,Female,Thailand,<=50K
Self-emp-inc,1st-4th,Divorced,Exec-managerial,Husband,Black,Male,Nicaragua,<=50K
Self-emp-inc,Masters,Married-spouse-absent,Tech-support,Not-in-family,White,Female,Hungary,<=50K
State-gov,7th-8th,Never-married,Handlers-cleaners,Own-child,Other,Male,El-Salvador,<=50K
State-gov,Prof-school,Never-married,Farming-fishing,Own-child,Asian-Pac-Islander,Male,India,>50K
State-gov,7th-8th,Divorced,Sales,Husband,Amer-Indian-Eskimo,Female,Ecuador,<=50K
Private,9th,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Male,Scotland,>50K
Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Federal-gov,9th,Widowed,Protective-serv,Not-in-family,Black,Male,Nicaragua,>50K
State-gov,Preschool,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Female,England,>50K
Federal-gov,7th-8th,Married-spouse-absent,Transport-moving,Wife,Amer-Indian-Eskimo,Male,France,>50K
Local-gov,Some-college,Divorced,Prof-specialty,Unmarried,Other,Male,Columbia,>50K
Self-emp-inc,Prof-school,Separated,Tech-support,Husband,Amer-Indian-Eskimo,Male,Yugoslavia,>50K
Self-emp-not-inc,Doctorate,Never-married,Transport-moving,Husband,Asian-Pac-Islander,Male,Hungary,<=50K
Local-gov,Doctorate,Widowed,Tech-support,Husband,Asian-Pac-Islander,Female,United-States,<=50K
Without-pay,HS-grad,Divorced,Tech-support,Own-child,White,Male,Outlying-US(Guam-USVI-etc),<=50K
Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Federal-gov,7th-8th,Widowed,Transport-moving,Unmarried,White,Female,Poland,>50K
Self-emp-not-inc,HS-grad,Separated,Sales,Wife,Asian-Pac-Islander,Male,Italy,<=50K
Local-gov,Masters,Widowed,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,Cuba,<=50K
Federal-gov,Assoc-acdm,Married-AF-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,Mexico,<=50K
Federal-gov,5th-6th,Married-AF-spouse,Adm-clerical,Own-child,White,Female,Philippines,<=50K
Local-gov,11th,Separated,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,Yugoslavia,<=50K
Self-emp-not-inc,11th,Married-AF-spouse,Tech-support,Own-child,Other,Female,Puerto-Rico,>50K
Private,HS-grad,Never-married,Other-service,Unmarried,Black,Female,United-States,<=50K
Self-emp-not-inc,1st-4th,Married-AF-spouse,Exec-managerial,Husband,Other,Male,Honduras,>50K
Self-emp-inc,Some-college,Married-spouse-absent,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,Philippines,<=50K
State-gov,HS-grad,Married-AF-spouse,Sales,Own-child,White,Male,Portugal,<=50K
Private,Some-college,Never-married,Other-service,Unmarried,Black,Female,United-States,<=50K
Private,Prof-school,Married-spouse-absent,Sales,Other-relative,Amer-Indian-Eskimo,Male,Japan,<=50K
Self-emp-inc,Preschool,Never-married,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,Taiwan,<=50K
Without-pay,10th,Married-spouse-absent,Tech-support,Own-child,Asian-Pac-Islander,Male,Ireland,<=50K
Local-gov,Masters,Separated,Tech-support,Not-in-family,Other,Male,Cambodia,>50K
State-gov,Assoc-acdm,Widowed,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Female,Poland,>50K
Without-pay,Preschool,Married-AF-spouse,Farming-fishing,Not-in-family,White,Female,Puerto-Rico,<=50K
Self-emp-not-inc,9th,Never-married,Armed-Forces,Not-in-family,Asian-Pac-Islander,Male,Columbia,<=50K
Self-emp-inc,11th,Widowed,Exec-managerial,Husband,Other,Female,Portugal,>50K
